epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,234.486,0.70036,0.76152,0.82029,0.9175,0.95204,0.97335,0.85228,0.53987,0.51853,0.81446,1.634e-05,1.634e-05,1.634e-05
70,237.674,0.69024,0.7417,0.81935,0.92242,0.95421,0.97328,0.85496,0.53672,0.51072,0.81266,1.5845e-05,1.5845e-05,1.5845e-05
71,240.914,0.73808,0.81789,0.81991,0.92336,0.95435,0.97339,0.85556,0.52697,0.50709,0.81257,1.535e-05,1.535e-05,1.535e-05
72,244.105,0.69781,0.74621,0.82012,0.9402,0.94494,0.97783,0.86214,0.52005,0.50025,0.81182,1.4855e-05,1.4855e-05,1.4855e-05
73,247.497,0.69474,0.73497,0.81568,0.93119,0.95263,0.97782,0.86196,0.52014,0.49769,0.81192,1.436e-05,1.436e-05,1.436e-05
74,250.72,0.72969,0.78907,0.81981,0.93346,0.95137,0.97729,0.86191,0.51925,0.49719,0.81266,1.3865e-05,1.3865e-05,1.3865e-05
75,253.938,0.70339,0.75052,0.8243,0.94332,0.94823,0.97617,0.8601,0.52069,0.49056,0.81267,1.337e-05,1.337e-05,1.337e-05
76,257.151,0.71844,0.77973,0.82098,0.93659,0.95266,0.97581,0.85905,0.51854,0.49166,0.81348,1.2875e-05,1.2875e-05,1.2875e-05
77,260.36,0.71645,0.7673,0.81887,0.93289,0.95562,0.97672,0.86372,0.51507,0.48886,0.81299,1.238e-05,1.238e-05,1.238e-05
78,263.795,0.71259,0.7529,0.82049,0.93735,0.95559,0.97757,0.86541,0.51335,0.48507,0.81277,1.1885e-05,1.1885e-05,1.1885e-05
79,267.196,0.69421,0.74026,0.8189,0.93674,0.9561,0.9784,0.86718,0.51248,0.48293,0.81303,1.139e-05,1.139e-05,1.139e-05
80,270.558,0.68566,0.69438,0.81586,0.93769,0.95448,0.97903,0.86696,0.51235,0.47959,0.81321,1.0895e-05,1.0895e-05,1.0895e-05
81,273.768,0.72843,0.77516,0.81964,0.94028,0.95418,0.97969,0.86736,0.51078,0.47417,0.81244,1.04e-05,1.04e-05,1.04e-05
82,277.218,0.69068,0.70053,0.81815,0.94903,0.95074,0.97952,0.86852,0.50629,0.47044,0.81218,9.905e-06,9.905e-06,9.905e-06
83,280.568,0.7291,0.76454,0.82216,0.94757,0.95109,0.97927,0.86739,0.50427,0.47063,0.81263,9.41e-06,9.41e-06,9.41e-06
84,284.115,0.67689,0.69259,0.81789,0.94961,0.95109,0.97965,0.86971,0.50521,0.46829,0.81253,8.915e-06,8.915e-06,8.915e-06
85,287.511,0.68822,0.68268,0.81694,0.95535,0.94894,0.9799,0.87003,0.50265,0.46287,0.81249,8.42e-06,8.42e-06,8.42e-06
86,290.885,0.67329,0.6674,0.81816,0.94477,0.95714,0.98065,0.87022,0.50179,0.4569,0.81136,7.925e-06,7.925e-06,7.925e-06
87,294.266,0.67553,0.67067,0.81661,0.9447,0.95796,0.98092,0.86902,0.50303,0.45604,0.81171,7.43e-06,7.43e-06,7.43e-06
88,297.509,0.6783,0.67885,0.81896,0.94562,0.95722,0.98069,0.86796,0.50513,0.45815,0.81249,6.935e-06,6.935e-06,6.935e-06
89,300.714,0.659,0.65813,0.81733,0.94563,0.95731,0.98127,0.86802,0.50557,0.45402,0.81248,6.44e-06,6.44e-06,6.44e-06
90,303.866,0.66997,0.66351,0.8208,0.94668,0.95837,0.98141,0.86989,0.50554,0.45241,0.81249,5.945e-06,5.945e-06,5.945e-06
91,307.937,0.63018,0.58812,0.8212,0.95099,0.95682,0.98191,0.86854,0.50952,0.45035,0.81203,5.45e-06,5.45e-06,5.45e-06
92,311.094,0.65533,0.63229,0.81957,0.9507,0.95734,0.9828,0.8684,0.51163,0.44964,0.81143,4.955e-06,4.955e-06,4.955e-06
93,314.154,0.64161,0.60242,0.81474,0.95023,0.9581,0.98316,0.8679,0.51155,0.44915,0.81034,4.46e-06,4.46e-06,4.46e-06
94,317.231,0.63261,0.59543,0.81676,0.95082,0.95759,0.98295,0.86748,0.51517,0.45003,0.81038,3.965e-06,3.965e-06,3.965e-06
95,320.405,0.62402,0.59406,0.81743,0.94898,0.95742,0.98312,0.86748,0.51337,0.45122,0.81082,3.47e-06,3.47e-06,3.47e-06
96,323.429,0.67686,0.62534,0.80918,0.94469,0.96283,0.98392,0.86711,0.51543,0.44836,0.80849,2.975e-06,2.975e-06,2.975e-06
97,326.49,0.62553,0.59286,0.81474,0.9447,0.96262,0.98512,0.86826,0.51692,0.44791,0.80848,2.48e-06,2.48e-06,2.48e-06
98,329.543,0.64261,0.59004,0.81081,0.94445,0.9628,0.98292,0.86835,0.5153,0.4456,0.80882,1.985e-06,1.985e-06,1.985e-06
99,332.589,0.63036,0.57781,0.81374,0.94256,0.96514,0.98437,0.86903,0.51491,0.44508,0.80894,1.49e-06,1.49e-06,1.49e-06
100,335.629,0.64783,0.61428,0.81564,0.94398,0.96494,0.98432,0.86802,0.51509,0.44414,0.80829,9.95e-07,9.95e-07,9.95e-07
